twid,tweep,twtext,fav,rt,url
589475194869256192,CBSNews,100 years ago - First gas attacks in WWI http://t.co/4zmYjAQUuQ,20,36,http://cbsn.ws/1HEub6c
589458442823294976,CBSNews,"At 2 p.m. ET, @CBSNLive streams music from @bellesglasgow, @hollywilliams &amp; @thebarrbrothers: http://t.co/4deOgxo7aM http://t.co/dk1TuFkgfS",9,6,http://cbsn.ws/1bc3Ujw
589445040994385921,CBSNews,D.C. towing company responds to ESPN reporter fracus http://t.co/LnpPJ2NxQe http://t.co/QUmT3YUzpG,26,39,http://cbsn.ws/1DjUMPR
589439423982530560,CBSNews,Hockey star arrested on drug charges http://t.co/6LP6W89vq4,14,25,http://cbsn.ws/1HDP7u5
589433472831332353,CBSNews,"LOOK: @BigBird's nest, @SesameStreet gets an upgrade as 46th season  goes into production http://t.co/9Kgz4qY1mG http://t.co/T3zw58Qih4",62,42,http://cbsn.ws/1b6gbW2
589404561569374209,CBSNews,Mexican border city erupts in violence http://t.co/eaIgdoMpAz http://t.co/HJlRYUfUE2,36,77,http://cbsn.ws/1b7lKDK
589395662841782272,CBSNews,Senator slams feds over decade-old oil leak in Gulf http://t.co/G0Yvoly3XA,24,29,http://cbsn.ws/1G5wiRi
589387415804059649,CBSNews,President Obama welcomes veterans participating in @wwp's Soldier Ride http://t.co/xLKAyLHy9i http://t.co/oDuqMI34O4,70,69,http://cbsn.ws/1b6fNHg
589344909070438400,CBSNews,"Dr. Oz defends himself, says he doesn't promote ""quack treatments"" http://t.co/5iukyFPYAJ http://t.co/Ioe0nNWBVY",37,50,http://cbsn.ws/1Echb8g
589330300171329536,CBSNews,Psychiatrist who prescribed drugs to Anna Nicole Smith re-sentenced to probation http://t.co/XPq47OaoEM http://t.co/bpPclaIP15,31,32,http://cbsn.ws/1yBVqMP
589325255514140672,CBSNews,"This is what a ""sunny spring day"" in Austria looks like: http://t.co/lO0w5eVrha http://t.co/SuveZYRpR2",112,76,http://cbsn.ws/1EcdEH2
589294060659200001,CBSNews,NBA legend Kareem Abdul-Jabbar recovers after quadruple coronary bypass surgery http://t.co/kaKPrszGMr http://t.co/ANIisGnWet,105,124,http://cbsn.ws/1Jdvbg0
589282477262434304,CBSNews,PHOTOS: Missed something? See the week's best pictures -- http://t.co/oHqzXKjx0H http://t.co/ssA3Qa8v1t,15,17,http://cbsn.ws/1HCdGaN
589274811089682432,CBSNews,PHOTOS: When a tree isn't a tree - Photographer Robert Voit's @ClampArtNYC fascinating photos: http://t.co/dD7dPHx5Po http://t.co/jjkXaIM40W,58,66,http://cbsn.ws/1b6cfEP
589266844332253185,CBSNews,PHOTOS: Missed something? The week's best pictures -- http://t.co/buWMBMTpAR http://t.co/rzgpt3SSZO,27,24,http://cbsn.ws/1G30uK2
589261125511962625,CBSNews,A third-grade teacher's assignment strikes a chord -- The woman behind #IWishMyTeacherKnew http://t.co/nEchGm8afV http://t.co/4kQ31NUAwm,151,142,http://cbsn.ws/1bbXNvC
589248000804945920,CBSNews,"UPDATE: Fresno Co. Sheriff's Office says explosion injures 11 people, at least 3 critically http://t.co/IqH2RxpMjv http://t.co/Yyzfmo6YI7",22,55,http://cbsn.ws/1b627Me
589243827422113792,CBSNews,A story of redemption: Cop and ex-con join forces  http://t.co/YboA0XhbGm,14,17,http://cbsn.ws/1HBGhND
589238201505738753,CBSNews,"20 years later, wounds remain from Oklahoma City bombing http://t.co/KcBWGHPwSB",13,36,http://cbsn.ws/1yBd7vS
589237171560783872,CBSNews,"Nothing to see here, people: Just a man casually taking his giant pet tortoise for a walk http://t.co/6dZSYGRa1O http://t.co/eg6tVTxgOH",114,115,http://cbsn.ws/1b5Jg3O
589232893270089728,CBSNews,"""Is pizza an emergency now?"" Police officer on pizza run caught on camera parking in bike lane http://t.co/ndAYuPsaH3 http://t.co/Qar7jL3to3",39,59,http://cbsn.ws/1Ebu8iG
589229385112276994,CBSNews,White House boosts security after breaches by adding spikes to fence http://t.co/NV6H1RittI http://t.co/WzkUMr6qrF,31,43,http://cbsn.ws/1HhfS76
589224849639403520,CBSNews,"30 years ago, Ecstasy was not only legal — it was handed out by doctors http://t.co/C5gemRjSjC http://t.co/XYMEXloEzc",63,107,http://cbsn.ws/1JRnDQZ
589221352315473920,CBSNews,"BREAKING: Critical injuries in gas explosion at Fresno, CA gun range http://t.co/dDkPvfT8DA http://t.co/3SCsLSsAAd",41,120,http://cbsn.ws/1bbKyuZ
