dt,title,href,newstxt
2015-02-12 22:11:00,Brian Williams' SEAL Team Six war stories questioned - CNN Video,http://www.cnn.com/videos/tv/2015/02/13/ac-berman-on-brian-williams-war-stories.cnn,John Berman takes a close look at claims Brian Williams made about flying into Iraq with members of SEAL Team Six and gifts from them that he says he received.
2015-02-25 18:57:00,Madonna falls offstage at the Brit Awards - CNN Video,http://www.cnn.com/videos/world/2015/02/25/ct-uk-brit-awards-madonna-falls-offstage.cnn,"While performing at the Brit Awards in London, Madonna had a cape malfunction and took a tumble off the stage."
2015-01-27 16:58:00,Airlines continue to cancel flights; impacts nation - CNN Video,http://www.cnn.com/videos/tv/2015/01/27/lead-pkg-marsh-cancelled-flights-snowstorm.cnn,"As airlines continue to cancel flights because of a storm in the northeast, a ripple effect is being felt across the nations. CNN's Rene Marsh reports. "
2015-02-19 17:30:00,Dangerous cold cripples travel  - CNN Video,http://www.cnn.com/videos/tv/2015/02/19/lead-pkg-marsh-travel-winter-freez.cnn,Airport crews risk frostbite in freezing temperatures. CNN's Rene Marsh reports. 
2015-02-23 16:54:00,How do Giuliani's comments on Obama affect GOP? - CNN Video,http://www.cnn.com/videos/politics/2015/02/23/tsr-pkg-bash-giuliani-obama-comments-gop-effect.cnn,CNN's Dana Bash reports on the fallout of the comments made by former New York Mayor Rudy Giuliani about President Obama.
2015-02-10 19:53:00,Brian Williams suspended six months without pay - CNN Video,http://www.cnn.com/videos/entertainment/2015/02/11/erin-stelter-brian-williams-suspended-six-months.cnn,CNN's Brian Stelter responds to news that NBC has suspended anchor Brian Williams for six months without pay.
2015-02-11 15:37:00,Inside failed hostage rescue attempts to save Kayla Mueller - CNN Video,http://www.cnn.com/videos/world/2015/02/11/tsr-dnt-todd-mueller-failed-rescue.cnn,CNN's Brian Todd reports on the rescue attempts to try to save American captive Kayla Mueller from ISIS. How close did the U.S. come to winning her freedom?
2015-02-11 15:30:00,Were UNC shootings a hate crime or parking dispute?  - CNN Video,http://www.cnn.com/videos/us/2015/02/11/lead-dnt-malveaux-unc-shooting.cnn,A 46-year-old man has been charged with murder in the shooting deaths of three family members near UNC Chapel Hill.  CNN's Suzanne Malveaux reports.
2015-02-16 18:37:00,Train derailment causes massive explosion - CNN Video,http://www.cnn.com/videos/us/2015/02/16/tsr-west-virginia-train-derailment-explosion.cnn,A train derailment in West Virginia caused a massive explosion and oil spill. 
2015-02-06 13:10:00,Jordan: We've opened the gates of hell on ISIS - CNN Video,http://www.cnn.com/videos/tv/2015/02/06/ctw-jordanian-interior-minister-hussein-majali.cnn,"Jordanian Interior Minister Hussein Majali tells CNN's Becky Anderson that Jordan is the spearhead of the war with ISIS, not the U.S."
2015-02-24 23:49:00,Huge home explosion caught on camera  - CNN Video,http://www.cnn.com/videos/us/2015/02/25/pkg-house-explosion-new-jersey.kyw,"Fifteen people were injured, including six firefighters and seven gas company employees, during a home explosion, officials said. CNN affiliate KYW reports. "
2015-02-12 11:46:00,Dog journeys to hospital to find owner - CNN Video,http://www.cnn.com/videos/us/2015/02/12/dnt-iowa-dog-finds-owner-in-hospital.kcrg,"A miniature schnauzer walks about 15 blocks to find her owner, who is at a hospital recovering from surgery in Cedar Rapids, Iowa. KCRG reports."
2015-02-07 00:08:00,Mexico: 60 abandoned bodies found in Acapulco - CNN Video,http://www.cnn.com/videos/world/2015/02/07/pkg-romo-mexico-acapulco-bodies-found.cnn,"Dozens of bodies have been found in an abandoned crematorium near the seaside resort of Acapulco in Western Mexico, as CNN's Rafael Romo reports. "
2015-02-24 05:16:00,"Man gets bionic eye, sees wife for first time in decade - CNN Video",http://www.cnn.com/videos/us/2015/02/24/mxp-man-bionic-eye-sees-wife-first-time.hln,A Minnesota man who got a bionic eye implant was able to see his wife for the first time in 10 years. 
2015-02-08 12:18:00,Will Brian Williams return to the NBC Nightly News? - CNN Video,http://www.cnn.com/videos/tv/2015/02/08/will-brian-williams-return-to-the-nbc-nightly-news.cnn,"Is Brian Williams still a reliable source? Kimberly Dozier, Jeff Greenfield, & Frank Sesno discuss the journalistic questions behind this growing scandal."
2015-02-09 06:11:00,Your television may be spying on you - CNN Video,http://www.cnn.com/videos/tech/2015/02/09/samsung-eavesdropping-tv.hln,Samsung smart televisions' voice recognition feature may be eavesdropping on you. HLN's Jennifer Westhoven has the details. 
